coin,month,monthly_return
DOGE,2022-12,-0.3421860168648345
DOGE,2023-01,0.36806836803837273
DOGE,2023-02,-0.1603252759907623
DOGE,2023-03,-0.045994319772922676
DOGE,2023-04,0.03549033445934291
DOGE,2023-05,-0.10165607270557575
DOGE,2023-06,-0.07229974666361383
DOGE,2023-07,0.17056516778628894
DOGE,2023-08,-0.1803309954325477
DOGE,2023-09,-0.025774090599336996
DOGE,2023-10,0.09874318140180893
DOGE,2023-11,0.22174373067434416
DOGE,2023-12,0.0725871826109954
DOGE,2024-01,-0.11967994281493
DOGE,2024-02,0.4877989694012941
DOGE,2024-03,0.8779195773428599
DOGE,2024-04,-0.3941443956272388
DOGE,2024-05,0.19357660931235876
DOGE,2024-06,-0.21887565036205947
DOGE,2024-07,-0.018430484175345208
DOGE,2024-08,-0.16950513426542768
DOGE,2024-09,0.12923851393962038
DOGE,2024-10,0.4102493080924636
DOGE,2024-11,1.6148958787725247
DOGE,2024-12,-0.25188931108608825
DOGE,2025-01,0.04132963171950954
DOGE,2025-02,-0.3856227234827463
DOGE,2025-03,-0.17452706708846077
DOGE,2025-04,0.03374027333082341
DOGE,2025-05,0.1174364331563551
DOGE,2025-06,-0.14250259096464024
DOGE,2025-07,0.270910114510001
DOGE,2025-08,0.018782777097313907
DOGE,2025-09,0.08928277478343105
DOGE,2025-10,-0.19953198946384365
DOGE,2025-11,-0.21328842781973079
DOGE,2025-12,-0.2002809162849145
DOGE,2026-01,-0.11249510415275676
DOGE,2026-02,-0.09639862950940647
DOGE,2026-03,0.02184687339208735
DOT,2020-08,1.1723608633704372
DOT,2020-09,-0.30956078140492327
DOT,2020-10,-0.03862564447511874
DOT,2020-11,0.2856834982496186
DOT,2020-12,0.7283788806770564
DOT,2021-01,0.7348723062765123
DOT,2021-02,1.0846474272060385
DOT,2021-03,0.10175641357870724
DOT,2021-04,-0.01313492971499497
DOT,2021-05,-0.3587711803715571
DOT,2021-06,-0.2999767024508986
DOT,2021-07,0.02713107801709813
DOT,2021-08,0.867966928218693
DOT,2021-09,-0.09181438255097651
DOT,2021-10,0.4954922681313656
DOT,2021-11,-0.11187099851275117
DOT,2021-12,-0.29611889761912036
DOT,2022-01,-0.27317433571243166
DOT,2022-02,-0.024688176410845197
DOT,2022-03,0.12467201076270973
DOT,2022-04,-0.3183930628685585
DOT,2022-05,-0.28607163358786647
DOT,2022-06,-0.32088273459956884
DOT,2022-07,0.22810213156450532
DOT,2022-08,-0.18723542279350613
DOT,2022-09,-0.10128302801478783
DOT,2022-10,0.04999285332061776
DOT,2022-11,-0.17468693760843268
DOT,2022-12,-0.21155477368938935
DOT,2023-01,0.45182520632478984
DOT,2023-02,0.012861133012223469
DOT,2023-03,-0.0006165502869122097
DOT,2023-04,-0.0693504804561792
DOT,2023-05,-0.09886745666685648
DOT,2023-06,-0.02747820806700496
DOT,2023-07,-0.012247360671783336
DOT,2023-08,-0.16422343889404012
DOT,2023-09,-0.038373134818441956
DOT,2023-10,0.08416807925106662
DOT,2023-11,0.22794272743468325
DOT,2023-12,0.4991393314658692
DOT,2024-01,-0.18772923892850224
DOT,2024-02,0.24028731724756103
DOT,2024-03,0.16809166706041956
DOT,2024-04,-0.33397416839794436
DOT,2024-05,0.08796139172785788
DOT,2024-06,-0.11142945841732266
DOT,2024-07,-0.1325977293493752
DOT,2024-08,-0.20924368081193778
DOT,2024-09,0.04194032979318196
DOT,2024-10,-0.10832268342452811
DOT,2024-11,1.2664939995359932
DOT,2024-12,-0.2600943733939729
DOT,2025-01,-0.04771158580989876
DOT,2025-02,-0.25408442498366046
DOT,2025-03,-0.146475540717378
DOT,2025-04,0.011318412574945036
DOT,2025-05,0.0033570648275358383
DOT,2025-06,-0.16714811953597697
DOT,2025-07,0.08502086331636738
DOT,2025-08,0.014487121786362023
DOT,2025-09,0.04427683603796417
DOT,2025-10,-0.26239779281597453
DOT,2025-11,-0.23028417078288033
DOT,2025-12,-0.1935379716983403
DOT,2026-01,-0.1370255320030671
DOT,2026-02,0.08199694138981539
DOT,2026-03,-0.18517587989898265
ETH,2020-01,0.3773502608419739
ETH,2020-02,0.2202947460641289
ETH,2020-03,-0.39233808569577167
ETH,2020-04,0.5539823930679746
ETH,2020-05,0.11258875882296304
ETH,2020-06,-0.02017833652986767
ETH,2020-07,0.5268747244093432
ETH,2020-08,0.25907648367700387
ETH,2020-09,-0.17270828515420777
ETH,2020-10,0.07404740740640303
ETH,2020-11,0.5904239665444471
ETH,2020-12,0.19998759130319144
ETH,2021-01,0.7822989102321609
ETH,2021-02,0.07685460400671551
ETH,2021-03,0.3547286344036915
ETH,2021-04,0.4456119041780007
ETH,2021-05,-0.021008788054217464
ETH,2021-06,-0.1622123668754829
ETH,2021-07,0.11503929513799549
ETH,2021-08,0.3538834398183508
ETH,2021-09,-0.12582625176782836
ETH,2021-10,0.4285585776905294
ETH,2021-11,0.08008368503853913
ETH,2021-12,-0.2048689394048806
ETH,2022-01,-0.27001171567556304
ETH,2022-02,0.08589970747939235
ETH,2022-03,0.12415781888640165
ETH,2022-04,-0.16804268000951295
ETH,2022-05,-0.2885732119152141
ETH,2022-06,-0.4505053592826991
ETH,2022-07,0.5754887850279169
ETH,2022-08,-0.07602205155865738
ETH,2022-09,-0.14527160141821904
ETH,2022-10,0.18429200056145967
ETH,2022-11,-0.17614505548377157
ETH,2022-12,-0.07634346593989672
ETH,2023-01,0.32567975152872064
ETH,2023-02,0.012202527095311666
ETH,2023-03,0.13458347779136992
ETH,2023-04,0.03013257733733954
ETH,2023-05,-0.0014885114001486066
ETH,2023-06,0.03151246505785332
ETH,2023-07,-0.03984432599652732
ETH,2023-08,-0.11341852341775804
ETH,2023-09,0.01550929614223695
ETH,2023-10,0.08694377376798856
ETH,2023-11,0.12997660282981083
ETH,2023-12,0.1115268095350801
ETH,2024-01,0.0004704167168729789
ETH,2024-02,0.4641203161476668
ETH,2024-03,0.09154521864078213
ETH,2024-04,-0.17423097361597928
ETH,2024-05,0.2482299261480112
ETH,2024-06,-0.08700402549978747
ETH,2024-07,-0.05872415229689487
ETH,2024-08,-0.2221715164052247
ETH,2024-09,0.03567644089609501
ETH,2024-10,-0.033523367014797745
ETH,2024-11,0.47297334016257087
ETH,2024-12,-0.10070244434768427
ETH,2025-01,-0.010282453177826834
ETH,2025-02,-0.32149018327136025
ETH,2025-03,-0.18518446597704985
ETH,2025-04,-0.016290055367710443
ETH,2025-05,0.4099242388772817
ETH,2025-06,-0.016853133203502124
ETH,2025-07,0.4867326593849244
ETH,2025-08,0.18754830611988282
ETH,2025-09,-0.05559463889533589
ETH,2025-10,-0.07208882287327745
ETH,2025-11,-0.22223808754114827
ETH,2025-12,-0.008380350258445968
ETH,2026-01,-0.17591479164050694
ETH,2026-02,-0.19632852246249
ETH,2026-03,0.10329044644531127
LTC,2020-01,0.615496864052409
LTC,2020-02,-0.13754126203580141
LTC,2020-03,-0.32871689896860967
LTC,2020-04,0.18867904015754533
LTC,2020-05,-0.024021378758431133
LTC,2020-06,-0.09045671476522898
